vendor,product_url,product_name,variant,status,price_type,amount_0,price_0,amount_1,price_1,amount_2,price_2,amount_3,price_3,amount_4,price_4,amount_5,price_5,amount_6,price_6,amount_7,price_7,amount_8,price_8
HC,https://www.hach.de/keramiktasse-specta-in-bunten-farbe-280-ml-ohne-werbedruck-2.html,"Keramiktasse Specta in bunten Farbe, 280 ml ohne Werbedruck",-,in-stock,base_price,1,3.59,,,,,,,,,,,,,,,,
BD,https://www.brandible.de/pix-bunter-sublimations-pop-becher.html,Pix 330 ml Colour-Pop Sublimations-Tasse,-,-,base_price,10,5.10,20,4.25,50,3.40,75,3.06,200,2.55,400,2.48,600,2.45,850,2.38,1300,2.31
HF,https://www.highflyers.de/product_info.php/products_id/135873,Keramik Kaffeebecher 300ml COLOUR TRENT - schwarz,-,-,base_price,1,1.49,40,1.98,150,1.97,270,1.83,625,1.74,1350,1.69,2100,1.66,2800,anfrage,,
PS,https://www.promostore.de/aztec-keramiktasse-457622.html,Aztec Keramik Tasse,-,available,base_price,1,2.74,100,3.45,250,3.33,1000,3.21,2000,3.09,,,,,,,,
FA,https://www.flyeralarm-giveaways.com/produkt/tasse-oslo-300ml/,Tasse Oslo 300ml,dunkelblau,,base_price,100,1.90,250,1.83,500,1.75,1000,1.69,2500,1.62,5000,1.57,10000,1.51,,,,
FA,https://www.flyeralarm-giveaways.com/produkt/tasse-oslo-300ml/,Tasse Oslo 300ml,gelb,,base_price,100,1.90,250,1.83,500,1.75,1000,1.69,2500,1.62,5000,1.57,10000,1.51,,,,
FA,https://www.flyeralarm-giveaways.com/produkt/tasse-oslo-300ml/,Tasse Oslo 300ml,hellgruen,,base_price,100,1.90,250,1.83,500,1.75,1000,1.69,2500,1.62,5000,1.57,10000,1.51,,,,
FA,https://www.flyeralarm-giveaways.com/produkt/tasse-oslo-300ml/,Tasse Oslo 300ml,orange,,base_price,100,1.90,250,1.83,500,1.75,1000,1.69,2500,1.62,5000,1.57,10000,1.51,,,,
FA,https://www.flyeralarm-giveaways.com/produkt/tasse-oslo-300ml/,Tasse Oslo 300ml,schwarz,,base_price,100,1.90,250,1.83,500,1.75,1000,1.69,2500,1.62,5000,1.57,10000,1.51,,,,
GF,https://www.giffits.de/elite-inside-tasse-werbeartikel-151071.htm,Elite Inside Tasse,,-,base_price,108,"2,84",250,"2,78",500,"2,66",1000,"2,37",,,,,,,,,,
